Prefectural level or Country level,Provincial-level regions,地级行政区或县级行政区,省级行政区,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29
LuLiang,Shanxi,呂梁,山西省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Xilin,Inner Mongolia,錫林,内蒙古自治区,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,
Baotou,Inner Mongolia,包頭,内蒙古自治区,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,,,
Hohhot,Inner Mongolia,呼和浩特,内蒙古自治区,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Tongbian,Inner Mongolia,通邊,内蒙古自治区,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,
Chifeng,Inner Mongolia,赤峰,内蒙古自治区,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,
Hulunbuir,Inner Mongolia,呼倫貝爾,内蒙古自治区,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,,,
Bayannur,Inner Mongolia,巴彥淖爾,内蒙古自治区,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,,,
Ordos,Inner Mongolia,鄂爾多斯,内蒙古自治区,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,,,
Wuhai,Inner Mongolia,烏海,内蒙古自治区,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,
Ulaan Chab,Inner Mongolia,烏蘭察布,内蒙古自治区,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,
Daxinganling,Inner Mongolia,兴安盟,内蒙古自治区,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Shenyang,Liaoning,瀋陽,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalian,Liaoning,大連,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anshan,Liaoning,鞍山,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benxi,Liaoning,本溪,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dandong,Liaoning,丹東,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinzhou,Liaoning,錦州,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yingkou,Liaoning,營口,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuxin,Liaoning,阜新,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liaoyang,Liaoning,遼陽,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaoyang,Liaoning,朝陽,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tieling,Liaoning,鐵岭,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panjin,Liaoning,盤錦,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huludao,Liaoning,葫蘆島,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changchun,Jilin,長春,吉林省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,4.0,1.0,5.0,1.0,0.0,,,
Siping,Jilin,四平,吉林省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,,,
Jilin,Jilin,吉林,吉林省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,
Yanbian,Jilin,延邊,吉林省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,
Gongzhuling,Jilin,公主岭,吉林省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,
Songyuan,Jilin,松原,吉林省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Tonghua,Jilin,通化,吉林省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,
Liaoyuan,Jilin,遼源,吉林省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,
Meihekou,Jilin,梅河口,吉林省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Baicheng,Jilin,白城市,吉林省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Harbin,Heilongjiang,哈尔滨市,黑龙江省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,11.0,2.0,0.0,14.0,2.0,7.0,20.0,2.0,0.0,0.0,0.0,1.0,,,
Shuangyashan,Heilongjiang,雙鴨山,黑龙江省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0,5.0,3.0,1.0,0.0,4.0,5.0,,,
Suihua,Heilongjiang,綏化,黑龙江省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,5.0,1.0,1.0,2.0,2.0,2.0,6.0,3.0,0.0,-27.0,33.0,0.0,,,
Jixi,Heilongjiang,雞西,黑龙江省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,3.0,9.0,-13.0,19.0,2.0,5.0,,,
Qiqihar,Heilongjiang,齊齊哈爾,黑龙江省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,6.0,0.0,2.0,2.0,0.0,2.0,,,
Daqing,Heilongjiang,大慶,黑龙江省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,,,
qitaihe ,Heilongjiang,七台河,黑龙江省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,,,
Jiamusi,Heilongjiang,佳木斯,黑龙江省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,
Heihe,Heilongjiang,黑河,黑龙江省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,,,
Mudan,Heilongjiang,牡丹,黑龙江省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,,,
hegang,Heilongjiang,鶴岡,黑龙江省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,
Daxing,Heilongjiang,大興,黑龙江省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Yichun,Heilongjiang,伊春,黑龙江省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
,Shanghai,,上海市,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,3.0,10.0,5.0,11.0,3.0,4.0,4.0,5.0,5.0,28.0,34.0,16.0,21.0,16.0,9.0,13.0,12.0,16.0,22.0,12.0,7.0,4.0,0.0,,,
Nanjing,Jiangsu,南京,江苏省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,7.0,2.0,2.0,5.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,0.0,3.0,3.0,9.0,5.0,0.0,0.0,5.0,1.0,0.0,,,
Wuxi,Jiangsu,無錫,江苏省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,1.0,6.0,3.0,1.0,2.0,6.0,6.0,3.0,1.0,2.0,2.0,0.0,1.0,3.0,,,
Xuzhou,Jiangsu,徐州,江苏省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,2.0,0.0,6.0,1.0,3.0,3.0,5.0,14.0,4.0,5.0,4.0,3.0,5.0,3.0,1.0,0.0,2.0,,,
Changzhou,Jiangsu,常州,江苏省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,7.0,0.0,2.0,7.0,0.0,0.0,5.0,0.0,7.0,,,
Suzhou,Jiangsu,蘇州,江苏省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,3.0,1.0,0.0,9.0,0.0,5.0,0.0,2.0,5.0,4.0,7.0,1.0,7.0,0.0,2.0,,,
Nantong,Jiangsu,南通,江苏省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,3.0,2.0,1.0,3.0,2.0,2.0,0.0,5.0,4.0,1.0,1.0,1.0,2.0,,,
Jianyun,Jiangsu,建雲,江苏省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,0.0,4.0,0.0,2.0,0.0,3.0,6.0,,,
Huaian,Jiangsu,淮安,江苏省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,2.0,8.0,7.0,0.0,4.0,2.0,1.0,3.0,1.0,7.0,0.0,4.0,,,
Yancheng,Jiangsu,鹽城,江苏省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,2.0,4.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,,,
Yangzhou,Jiangsu,揚州,江苏省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,,
Zhenjiang,Jiangsu,鎮江,江苏省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,
Taizhou,Jiangsu,泰州,江苏省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,9.0,0.0,1.0,0.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,,,
Suqian,Jiangsu,宿遷,江苏省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,,,
Hangzhou,Zhejiang,杭州,浙江省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,8.0,1.0,6.0,7.0,12.0,6.0,4.0,12.0,6.0,4.0,2.0,6.0,13.0,4.0,10.0,3.0,10.0,2.0,8.0,5.0,3.0,6.0,,,,
Ningbo,Zhejiang,寧波,浙江省,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,6.0,7.0,4.0,11.0,7.0,9.0,6.0,5.0,18.0,10.0,5.0,3.0,5.0,7.0,1.0,12.0,,,,
