Prefectural level or Country level,Provincial-level regions,地级行政区或县级行政区,省级行政区,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29
Xilin,Inner Mongolia,錫林,内蒙古自治区,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,6.0,6,8,8,9,9,9,9,9,9,9,9,9.0,,,
Baotou,Inner Mongolia,包頭,内蒙古自治区,,,,,,,,,3.0,3.0,3.0,5.0,6.0,6.0,7.0,9.0,9.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11,11,11,11,11,11,11,11,11,11,11,11.0,,,
Hohhot,Inner Mongolia,呼和浩特,内蒙古自治区,,,,,,,,,2.0,2.0,2.0,4.0,4.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,7,7,7,7,7,7,7,7,7,7,7.0,,,
Tongbian,Inner Mongolia,通邊,内蒙古自治区,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6,6,7,7,7,7,7,7,7,7,7,7.0,,,
Chifeng,Inner Mongolia,赤峰,内蒙古自治区,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,7.0,7.0,9,9,9,9,9,9,9,9,9,9,9,9.0,,,
Hulunbuir,Inner Mongolia,呼倫貝爾,内蒙古自治区,,,,,,,,,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6,6,6,7,7,7,7,7,7,7,7,7.0,,,
Bayannur,Inner Mongolia,巴彥淖爾,内蒙古自治区,,,,,,,,,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8,8,8,8,8,8,8,8,8,8,8,8.0,,,
Ordos,Inner Mongolia,鄂爾多斯,内蒙古自治区,,,,,,,,,3.0,3.0,3.0,6.0,9.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11,11,11,11,11,11,11,11,11,11,11,11.0,,,
Wuhai,Inner Mongolia,烏海,内蒙古自治区,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2.0,,,
Ulaan Chab,Inner Mongolia,烏蘭察布,内蒙古自治区,,,,,,,,,0.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3.0,,,
Daxinganling,Inner Mongolia,兴安盟,内蒙古自治区,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1.0,,,
Shenyang,Liaoning,瀋陽,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,28,28,28,28,28,28,28,28,28,28.0,,,
Dalian,Liaoning,大連,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,19,19,19,19,19,19,19,19,19,19.0,,,
Anshan,Liaoning,鞍山,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4.0,,,
Benxi,Liaoning,本溪,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3.0,,,
Dandong,Liaoning,丹東,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,7,7,7,7.0,,,
Jinzhou,Liaoning,錦州,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,12,12,12,12,12,12,12.0,,,
Yingkou,Liaoning,營口,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1.0,,,
Fuxin,Liaoning,阜新,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,8,8.0,,,
Liaoyang,Liaoning,遼陽,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3.0,,,
Chaoyang,Liaoning,朝陽,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,7,7,7,7.0,,,
Tieling,Liaoning,鐵岭,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6.0,,,
Panjin,Liaoning,盤錦,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11.0,,,
Huludao,Liaoning,葫蘆島,辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,12,12,12,12,12,12,12.0,,,
Changchun,Jilin,長春,吉林省,,,,,1.0,1.0,1.0,1.0,4.0,4.0,7.0,13.0,17.0,18.0,28.0,29.0,32.0,32.0,37.0,39.0,40.0,42.0,42.0,43.0,43.0,45,45,45,45,45,45,45,45,45,45,45,45.0,,,
Siping,Jilin,四平,吉林省,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,8.0,9.0,9.0,9.0,11.0,11.0,11.0,11.0,12.0,13.0,13.0,13,13,13,14,14,14,14,14,14,14,14,14.0,,,
Jilin,Jilin,吉林,吉林省,,,,,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4,5,5,5,5,5,5,5,5,5,5,5.0,,,
Yanbian,Jilin,延邊,吉林省,,,,,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5.0,,,
Gongzhuling,Jilin,公主岭,吉林省,,,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,4.0,44.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6,6,6,6,6,6,6,6,6,6,6,6.0,,,
Songyuan,Jilin,松原,吉林省,,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2.0,,,
Tonghua,Jilin,通化,吉林省,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,4,4,4,4,6,6,6,6.0,,,
Liaoyuan,Jilin,遼源,吉林省,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7,7,7,7,7,7,7,7,7,7,7,7.0,,,
Meihekou,Jilin,梅河口,吉林省,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1.0,,,
Baicheng,Jilin,白城市,吉林省,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1.0,,,
Harbin,Heilongjiang,哈尔滨市,黑龙江省,,,1.0,6.0,8.0,8.0,10.0,11.0,13.0,18.0,25.0,34.0,45.0,63.0,73.0,82.0,94.0,100.0,114.0,128.0,146.0,150.0,159.0,164.0,167.0,182,188,190,192,194,197,197,198,198,198,198,198.0,,,
Shuangyashan,Heilongjiang,雙鴨山,黑龙江省,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,7.0,12.0,16.0,20.0,36.0,38.0,38.0,38.0,39.0,39.0,48.0,48.0,49.0,50,52,52,52,52,52,52,52,52,52,52,52.0,,,
Suihua,Heilongjiang,綏化,黑龙江省,,,1.0,1.0,2.0,3.0,8.0,8.0,10.0,12.0,13.0,14.0,16.0,22.0,24.0,29.0,39.0,44.0,35.0,37.0,39.0,43.0,45.0,46.0,46.0,46,46,47,47,47,47,47,47,47,47,47,47.0,,,
Jixi,Heilongjiang,雞西,黑龙江省,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0,6.0,9.0,12.0,21.0,29.0,31.0,34.0,39.0,39.0,44.0,44.0,45.0,46.0,46,46,46,46,46,46,46,46,46,46,46,46.0,,,
Qiqihar,Heilongjiang,齊齊哈爾,黑龙江省,,,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,6.0,20.0,26.0,27.0,27.0,27.0,30.0,32.0,33.0,33.0,36.0,36.0,38.0,42,43,43,43,43,43,43,43,43,43,43,43.0,,,
Daqing,Heilongjiang,大慶,黑龙江省,,,1.0,1.0,3.0,5.0,5.0,5.0,5.0,7.0,8.0,8.0,11.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,14.0,15.0,15.0,18.0,19.0,19,20,20,23,26,26,26,26,26,26,26,26.0,,,
qitaihe ,Heilongjiang,七台河,黑龙江省,,,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,5.0,6.0,7.0,8.0,9.0,9.0,10.0,11.0,13.0,14.0,15.0,15.0,16.0,16.0,16.0,16,16,17,17,17,17,17,17,17,17,17,17.0,,,
Jiamusi,Heilongjiang,佳木斯,黑龙江省,,,0.0,0.0,0.0,1.0,1.0,5.0,5.0,8.0,11.0,11.0,11.0,11.0,11.0,12.0,13.0,13.0,13.0,14.0,15.0,15.0,15.0,15.0,15.0,15,15,15,15,15,15,15,15,15,15,15,15.0,,,
Heihe,Heilongjiang,黑河,黑龙江省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,6.0,10.0,13.0,13.0,14,14,14,14,14,15,15,15,15,15,15,15.0,,,
Mudan,Heilongjiang,牡丹,黑龙江省,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,7.0,8.0,8.0,9.0,10.0,11.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12,12,13,13,14,14,14,14,14,14,14,14.0,,,
hegang,Heilongjiang,鶴岡,黑龙江省,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5.0,,,
Daxing,Heilongjiang,大興,黑龙江省,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2,2,2,2,2,2,2,2,2,2.0,,,
Yichun,Heilongjiang,伊春,黑龙江省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1.0,,,
,Shanghai,,上海市,9.0,16.0,20.0,33.0,40.0,53.0,66.0,80.0,101.0,128.0,153.0,177.0,193.0,208.0,233.0,254.0,269.0,281.0,292.0,295.0,302.0,306.0,313.0,318.0,326.0,328,331,333,333,333,334,334,335,335,335,336,337.0,,,
Nanjing,Jiangsu,南京,江苏省,,,,4.0,7.0,7.0,10.0,14.0,19.0,25.0,28.0,35.0,40.0,44.0,47.0,52.0,57.0,65.0,71.0,78.0,84.0,87.0,90.0,91.0,91.0,92,92,92,93,93,93,93,93,93,93,93,93.0,,,
Wuxi,Jiangsu,無錫,江苏省,,,,1.0,2.0,4.0,6.0,9.0,10.0,12.0,13.0,19.0,23.0,25.0,26.0,28.0,31.0,34.0,38.0,41.0,45.0,48.0,49.0,51.0,52.0,53,55,55,55,55,55,55,55,55,55,55,55.0,,,
Xuzhou,Jiangsu,徐州,江苏省,,,,0.0,0.0,3.0,8.0,8.0,15.0,20.0,23.0,30.0,36.0,39.0,45.0,45.0,49.0,52.0,56.0,60.0,63.0,66.0,71.0,7.0,77.0,78,79,79,79,79,79,79,79,79,79,79,79.0,,,
Changzhou,Jiangsu,常州,江苏省,,,,0.0,5.0,5.0,6.0,8.0,10.0,13.0,14.0,15.0,15.0,19.0,24.0,27.0,29.0,31.0,31.0,31.0,36.0,38.0,43.0,46.0,49.0,50,51,51,51,51,51,51,51,51,51,51,51.0,,,
Suzhou,Jiangsu,蘇州,江苏省,,,,3.0,7.0,8.0,12.0,20.0,24.0,32.0,34.0,38.0,44.0,52.0,55.0,60.0,69.0,72.0,75.0,77.0,80.0,84.0,85.0,85.0,86.0,86,86,87,87,87,87,87,87,87,87,87,87.0,,,
Nantong,Jiangsu,南通,江苏省,,,,2.0,4.0,6.0,6.0,9.0,10.0,12.0,17.0,19.0,22.0,25.0,27.0,2.0,31.0,32.0,33.0,35.0,37.0,38.0,39.0,40.0,40.0,40,40,40,40,40,40,40,40,40,40,40,40.0,,,
Jianyun,Jiangsu,建雲,江苏省,,,,1.0,3.0,3.0,3.0,3.0,6.0,9.0,13.0,13.0,14.0,17.0,20.0,24.0,27.0,32.0,35.0,37.0,39.0,42.0,45.0,46.0,48.0,48,48,48,48,48,48,48,48,48,48,48,48.0,,,
Huaian,Jiangsu,淮安,江苏省,,,,0.0,1.0,2.0,2.0,3.0,7.0,10.0,12.0,13.0,18.0,22.0,26.0,34.0,37.0,40.0,44.0,46.0,46.0,47.0,51.0,56.0,60.0,63,65,66,66,66,66,66,66,66,66,66,66.0,,,
Yancheng,Jiangsu,鹽城,江苏省,,,,0.0,1.0,1.0,1.0,1.0,6.0,6.0,8.0,13.0,15.0,15.0,15.0,15.0,16.0,16.0,17.0,17.0,18.0,18.0,21.0,25.0,26.0,27,27,27,27,27,27,27,27,27,27,27,27.0,,,
Yangzhou,Jiangsu,揚州,江苏省,,,,1.0,1.0,4.0,5.0,8.0,8.0,8.0,13.0,13.0,14.0,15.0,15.0,15.0,17.0,17.0,18.0,18.0,18.0,18.0,20.0,20.0,21.0,22,23,23,23,23,23,23,23,23,23,23,23.0,,,
Zhenjiang,Jiangsu,鎮江,江苏省,,,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,6.0,8.0,9.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12,12,12,12,12,12,12,12,12,12,12,12.0,,,
Taizhou,Jiangsu,泰州,江苏省,,,,0.0,1.0,2.0,4.0,8.0,9.0,12.0,17.0,17.0,21.0,23.0,26.0,28.0,29.0,30.0,31.0,34.0,36.0,37.0,37.0,37.0,37.0,37,37,37,37,37,37,37,37,37,37,37,37.0,,,
Suqian,Jiangsu,宿遷,江苏省,,,,1.0,1.0,1.0,3.0,4.0,4.0,7.0,8.0,8.0,9.0,10.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13,13,13,13,13,13,13,13,13,13,13,13.0,,,
Hangzhou,Zhejiang,杭州,浙江省,,,6.0,12.0,27.0,27.0,32.0,51.0,85.0,85.0,98.0,110.0,118.0,132.0,141.0,151.0,156.0,162.0,165.0,155.0,157.0,159.0,162.0,165.0,166.0,166,168,168,168,169,169,169,169,169,169,169,169.0,,,
Ningbo,Zhejiang,寧波,浙江省,,,5.0,6.0,13.0,13.0,17.0,20.0,46.0,46.0,55.0,66.0,75.0,102.0,120.0,126.0,136.0,141.0,146.0,149.0,151.0,153.0,153.0,153.0,154.0,155,156,156,156,156,157,157,157,157,157,157,157.0,,,
Wenzhou,Zhejiang,溫州,浙江省,,,6.0,10.0,18.0,32.0,60.0,114.0,227.0,227.0,241.0,265.0,291.0,340.0,364.0,396.0,421.0,438.0,448.0,464.0,474.0,481.0,490.0,496.0,502.0,503,504,504,504,504,504,504,504,504,504,504,504.0,,,
Huzhou,Zhejiang,湖州,浙江省,,,0.0,0.0,1.0,3.0,3.0,5.0,6.0,6.0,6.0,6.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10,10,10,10,10,10,10,10,10,10,10,10.0,,,
Jiaxing,Zhejiang,嘉興,浙江省,,,3.0,4.0,8.0,8.0,11.0,14.0,16.0,16.0,18.0,19.0,19.0,23.0,27.0,30.0,35.0,37.0,38.0,40.0,40.0,42.0,42.0,42.0,43.0,43,43,43,44,45,45,45,45,45,45,45,45.0,,,
Shaoxing,Zhejiang,紹興,浙江省,,,1.0,4.0,5.0,6.0,7.0,19.0,23.0,23.0,24.0,27.0,30.0,30.0,30.0,33.0,34.0,36.0,38.0,41.0,41.0,41.0,41.0,42.0,42.0,42,42,42,42,42,42,42,42,42,42,42,42.0,,,
Jinhua,Zhejiang,金華,浙江省,,,1.0,2.0,3.0,5.0,7.0,13.0,27.0,27.0,34.0,34.0,36.0,40.0,44.0,47.0,4.0,52.0,53.0,53.0,53.0,54.0,55.0,55.0,55.0,55,55,55,55,55,55,55,55,55,55,55,55.0,,,
Luzhou,Zhejiang,衢州,浙江省,,,2.0,2.0,3.0,5.0,5.0,8.0,12.0,12.0,13.0,13.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,21.0,21.0,21.0,21.0,21.0,21,21,21,21,21,14,14,14,14,14,14,14.0,,,
Zhoushan,Zhejiang,舟山,浙江省,,,1.0,2.0,2.0,4.0,4.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,10.0,10.0,10.0,10.0,10.0,10,10,10,10,10,10,10,10,10,10,10,10.0,,,
Taizhou,Zhejiang,台州,浙江省,,,18.0,20.0,21.0,22.0,22.0,40.0,81.0,81.0,95.0,100.0,109.0,115.0,122.0,124.0,129.0,133.0,138.0,141.0,143.0,144.0,144.0,145.0,146.0,146,146,146,146,146,146,146,146,146,146,146,146.0,,,
Lishui,Zhejiang,麗水,浙江省,,,0.0,0.0,3.0,3.0,5.0,6.0,7.0,7.0,8.0,14.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17,17,17,17,17,17,17,17,17,17,17,17.0,,,
ShihLiFeng,Zhejiang,十里豐監獄,浙江省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,34,36,36,36,36,,,,
Hefei,Anhui,合肥市,安徽省,3.0,5.0,6.0,10.0,13.0,13.0,16.0,29.0,39.0,50.0,59.0,59.0,75.0,81.0,93.0,104.0,115.0,128.0,136.0,147.0,150.0,157.0,161.0,166.0,168.0,169,171,173,173,173,174,174,174,174,174,174,174.0,,,
